Dataset,Retriever,Question,Gold Answer,LLM Answer,Retrieved Context Preview,TopK,Mean Retrieval Score,Retrieval Hit@K,Exact Match,F1,BLEU,ROUGE-L,Semantic Similarity,Num Claims,Supported Claims,Unsupported Claims,Contradicted Claims,Faithfulness,Extrinsic Hallucination Rate,Intrinsic Hallucination Rate,Hallucination Rate,Step Time Sec
v1,bm25_v1+LLM,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The AFC is the only team that has ever won a Super Bowl.,"As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white jerseys with matching white pants. Elway stated, ""We've had Super Bowl success in our white uniforms."" The Broncos last wore matching white jerseys and pants in the Super Bowl in Super Bowl XXXIII, Elway's last game as Denver QB, when they defeated the Atlanta Falcons 34–19. In their only other Super Bowl win in Super Bowl XXXII, Denver wore blue jerseys, which was their pri",5,27.89986281037043,0,0,0.0,0.0,0.0,0.46393538,1,0,0,1,0.0,0.0,1.0,1.0,5.452566623687744
v1,dpr_v1+LLM,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The AFC is the only team that has won a Super Bowl since the NFL's inception. The AFC is the only team that has won a Super Bowl since the NFL's inception. The AFC is the only team that has won a Super Bowl since the NFL's inception. The AFC is the only team,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniv",5,0.5868524670600891,1,0,0.0,0.0,0.0,0.40053695,2,0,0,2,0.0,0.0,1.0,1.0,1.0338492393493652
v1,hybrid_v1+LLM,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,"The AFC is the most popular team in the NFL, and the AFC is the most popular team in the NFL. The AFC is the most popular team in the NFL, and the AFC is the most popular team in the NFL. The AFC is the most popular team in the NFL, and the AFC","As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white jerseys with matching white pants. Elway stated, ""We've had Super Bowl success in our white uniforms."" The Broncos last wore matching white jerseys and pants in the Super Bowl in Super Bowl XXXIII, Elway's last game as Denver QB, when they defeated the Atlanta Falcons 34–19. In their only other Super Bowl win in Super Bowl XXXII, Denver wore blue jerseys, which was their pri",5,0.8077731604058493,1,0,0.0,0.0,0.0,0.37702388,2,0,2,0,0.0,1.0,0.0,1.0,0.9632201194763184
v1,bm25_v1+LLM,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,"The NFC is the most popular team in the NFL, and the NFC is the most popular team in the NFL. The NFC is the most popular team in the NFL, and the NFC is the most popular team in the NFL. The NFC is the most popular team in the NFL, and the NFC","As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white jerseys with matching white pants. Elway stated, ""We've had Super Bowl success in our white uniforms."" The Broncos last wore matching white jerseys and pants in the Super Bowl in Super Bowl XXXIII, Elway's last game as Denver QB, when they defeated the Atlanta Falcons 34–19. In their only other Super Bowl win in Super Bowl XXXII, Denver wore blue jerseys, which was their pri",5,27.62939632004062,1,0,0.0,0.0,0.0,0.34328845,2,0,2,0,0.0,1.0,0.0,1.0,0.9647648334503174
v1,dpr_v1+LLM,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The NFC is the only NFC team to have won a Super Bowl in Super Bowl XXXIII.,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniv",5,0.5911763310432434,1,0,0.0,0.0,0.0,0.31636155,1,0,0,1,0.0,0.0,1.0,1.0,0.8534364700317383
v1,hybrid_v1+LLM,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,"The NFC is the most popular team in the NFL, and the NFC is the most popular team in the NFL. The NFC is the most popular team in the NFL, and the NFC is the most popular team in the NFL. The NFC is the most popular team in the NFL, and the NFC","As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white jerseys with matching white pants. Elway stated, ""We've had Super Bowl success in our white uniforms."" The Broncos last wore matching white jerseys and pants in the Super Bowl in Super Bowl XXXIII, Elway's last game as Denver QB, when they defeated the Atlanta Falcons 34–19. In their only other Super Bowl win in Super Bowl XXXII, Denver wore blue jerseys, which was their pri",5,0.8357290141579645,1,0,0.0,0.0,0.0,0.34328845,2,0,2,0,0.0,1.0,0.0,1.0,1.0008313655853271
v1,bm25_v1+LLM,Where did Super Bowl 50 take place?,"Santa Clara, California","The Super Bowl 50 was held in the Bay Area on June 4, 2014. The Super Bowl 50 was held in the Bay Area on June 4, 2014. The Super Bowl 50 was held in the Bay Area on June 4, 2014. The Super Bowl 50 was held in the Bay Area on June","CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Super Bowl XLVIII halftime shows, respectively. It was the third-most watched U.S. broadcast ever. The Super Bowl 50 Host Committee has vowed to be ""the most giving Super Bowl ever"", and will dedicate 25 ",5,21.273147950884265,0,0,0.0,0.6044751875664687,0.0,0.19979896,2,0,2,0,0.0,1.0,0.0,1.0,0.840104341506958
v1,dpr_v1+LLM,Where did Super Bowl 50 take place?,"Santa Clara, California","The Super Bowl was held in the San Francisco Bay Area on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area. The stadium opened in 2014, and the stadium was renamed Levi's Stadium in honor of the 50th anniversary of the Super Bowl. The stadium was originally named Levi","Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniv",5,0.6255763888359069,1,0,0.0,0.6371624499564389,0.0,0.23761752,4,0,1,3,0.0,0.25,0.75,1.0,1.0455119609832764
v1,hybrid_v1+LLM,Where did Super Bowl 50 take place?,"Santa Clara, California","The Super Bowl 50 was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. The Super Bowl 50 Host Committee has vowed to be ""the most giving Super Bowl ever"", and will dedicate 25 percent of all money it raises for philanthropic causes","CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Super Bowl XLVIII halftime shows, respectively. It was the third-most watched U.S. broadcast ever. Super Bowl 50 was an American football game to determine the champion of the National Football League (NF",5,0.8618410940287546,1,0,0.07272727272727274,3.850056372189413,0.10714285714285715,0.25897402,3,3,0,0,1.0,0.0,0.0,0.0,0.9617135524749756
v1,bm25_v1+LLM,Which NFL team won Super Bowl 50?,Denver Broncos,The Broncos won Super Bowl 50.,"As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white jerseys with matching white pants. Elway stated, ""We've had Super Bowl success in our white uniforms."" The Broncos last wore matching white jerseys and pants in the Super Bowl in Super Bowl XXXIII, Elway's last game as Denver QB, when they defeated the Atlanta Falcons 34–19. In their only other Super Bowl win in Super Bowl XXXII, Denver wore blue jerseys, which was their pri",5,21.16315540585437,0,0,0.25,6.567274736060395,0.25,0.60148335,1,0,0,1,0.0,0.0,1.0,1.0,0.8450610637664795
v1,dpr_v1+LLM,Which NFL team won Super Bowl 50?,Denver Broncos,The Super Bowl is a Super Bowl. The Super Bowl is a Super Bowl. The Super Bowl is a Super Bowl. The Super Bowl is a Super Bowl. The Super Bowl is a Super Bowl. The Super Bowl is a Super Bowl. The Super Bowl is a Super Bowl. The Super Bowl is,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniv",5,0.628760826587677,1,0,0.0,0.0,0.0,0.21713334,2,1,0,1,0.5,0.0,0.5,0.5,0.9209134578704834
v1,hybrid_v1+LLM,Which NFL team won Super Bowl 50?,Denver Broncos,"The Broncos' Super Bowl 50 was the first time they had won a Super Bowl. The Broncos won Super Bowl XXXIII, and the Super Bowl XXI was the first time they had won a Super Bowl. The Broncos won Super Bowl XXII, and the Super Bowl XXIV was the first time","As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white jerseys with matching white pants. Elway stated, ""We've had Super Bowl success in our white uniforms."" The Broncos last wore matching white jerseys and pants in the Super Bowl in Super Bowl XXXIII, Elway's last game as Denver QB, when they defeated the Atlanta Falcons 34–19. In their only other Super Bowl win in Super Bowl XXXII, Denver wore blue jerseys, which was their pri",5,0.8609862473941995,1,0,0.03773584905660377,0.6609918289641935,0.03773584905660377,0.45278955,5,1,0,4,0.2,0.0,0.8,0.8,1.528421401977539
v1,bm25_v1+LLM,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,The color used for the Super Bowl was black.,"The original logo used for the First Doctor (and briefly for the Second Doctor) was reused in a slightly modified format for the 50th anniversary special ""The Day of the Doctor"" during the Eleventh Doctor's run. The logo used in the television movie featuring the Eighth Doctor was an updated version of the logo used for the Third Doctor. The logo from 1973–80 was used for the Third Doctor's final season and for the majority of the Fourth Doctor's tenure. The following logo, while most associated",5,24.813526214036067,1,0,0.0,0.0,0.0,0.16267835,1,0,0,1,0.0,0.0,1.0,1.0,0.8469316959381104
v1,dpr_v1+LLM,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,"The 50th anniversary of the Super Bowl was celebrated in the NFL's history. The Super Bowl was the first time the NFL had a logo that featured the 50th anniversary of the Super Bowl. The NFL's logo was designed to be a ""super-colored"" logo, and the NFL logo was","Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniv",5,0.575075626373291,1,0,0.0,0.0,0.0,0.043514647,4,1,3,0,0.25,0.75,0.0,0.75,1.2034943103790283
v1,hybrid_v1+LLM,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,"The 50th anniversary of the Super Bowl was celebrated on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. The Super Bowl was the first time the NFL had ever been televised in the United States. The NFL's first Super Bowl was played in the","Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniv",5,0.9155903862219409,1,0,0.0,0.0,0.0,0.015009513,3,1,0,2,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.0847601890563965
v1,bm25_v1+LLM,What was the theme of Super Bowl 50?,"""golden anniversary""","Super Bowl 50 was a celebration of the Super Bowl, and the Super Bowl was a celebration of the Super Bowl. The Super Bowl was a celebration of the Super Bowl. The Super Bowl was a celebration of the Super Bowl. The Super Bowl was a celebration of the Super Bowl. The Super Bowl was","In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck Howley (MVP of Super Bowl V) appeared via video, while Peyton Manning (MVP of Super Bowl XLI and current Broncos quarterback) was shown in the locker room preparing for the game. No plans were announced regarding the recognition of Harvey Martin, co-MVP of Super Bowl XII, who died in 2001. Super Bowl",5,23.136407626484843,0,0,0.0,0.0,0.0,0.23724928,3,0,2,1,0.0,0.6666666666666666,0.3333333333333333,1.0,1.1051967144012451
v1,dpr_v1+LLM,What was the theme of Super Bowl 50?,"""golden anniversary""","Super Bowl 50 was a celebration of the 50th anniversary of the NFL's first Super Bowl. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""gold","Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniv",5,0.5693992137908935,1,0,0.0,0.7716270058689811,0.03773584905660377,0.3071242,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.9530186653137207
